Product,Announcement,End-of-Sale Date,End-of-Support Date
MX65,"Nov 20, 2018","May 28, 2019","May 28, 2026"
MC74,"Sep 27, 2018","Oct 1, 2018","Apr 1, 2019"
Z1,"April 27, 2018","July 27, 2018","July 27, 2025"
MX600,"Feb 28, 2018","May 20, 2018","May 20, 2025"
MX400,"Feb 28, 2018","May 20, 2018","May 20, 2025"
MS220-8,"Jan 9, 2018","Jul 28, 2018","Jul 28, 2025"
ANT-10,"Sep 6, 2017","Sep 11, 2017","Sep 11, 2024"
MR62,"Aug 15, 2017","Nov 15, 2017","Nov 15, 2024"
MR66,"Jun 7, 2017","Jun 9, 2017","Jun 9, 2024"
MS220 series,"Mar 16, 2017","Jul 29, 2017","Jul 29, 2024"
MR72,"Mar 7, 2017","Apr 30, 2017","Apr 30, 2024"
MR32,"Jan 18, 2017","Apr 30, 2017","Jul 31, 2024"
MS320 series,"Dec 8, 2016","Mar 31, 2017","Mar 31, 2024"
MR18,"Dec 8, 2016","Feb 13, 2017","Mar 31, 2024"
MS420,"Aug 1, 2016","Oct 31, 2016","Oct 31, 2023"
MR34,"Aug 1, 2016","Oct 31, 2016","Oct 31, 2023"
"AC-MR-1-XX(AU, EU, UK, US)","Feb 9, 2016","May 9, 2016","May 9, 2023"
MR26,"Feb 9, 2016","May 9, 2016","May 9, 2023"
MX80,"Jan 26, 2016","Aug 30, 2016","Aug 30, 2023"
MS320 & MS420 power supplies and fans,"Nov 16, 2015","Nov 16, 2015","Nov 16, 2022"
MR12,"Jul 27, 2015","Oct 24, 2015","Oct 24, 2022"
MX60W,"Jul 10, 2015","Oct 24, 2015","Oct 24, 2022"
MX60,"Jul 10, 2015","Oct 24, 2015","Oct 24, 2022"
ANT-13,"Jan 12, 2015","Apr 24, 2015","Apr 24, 2022"
ANT-11,"Jan 12, 2015","Apr 24, 2015","Apr 24, 2022"
Systems Manager Support License,"Sep 22, 2014","Sep 22, 2014",End of customer’s license
802.3af PoE Injector,"Feb 27, 2014","May 31, 2014","May 31, 2021"
MR24,"Feb 27, 2014","May 31, 2014","May 31, 2021"
MR16,"Feb 27, 2014","May 31, 2014","May 31, 2021"
MS22/P and MS42/P licenses,"Jan 6, 2014","Jan 25, 2014",N/A
SFP/SFP+ Accessories,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MS42P,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MS42,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MS22P,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MS22,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MX90,"Nov 5, 2013","Apr 26, 2014","Apr 26, 2021"
MR58,"Jul 26, 2012","Oct 30, 2012","Oct 30, 2017"
OD2,"Jul 26, 2012","Oct 30, 2012","Oct 30, 2017"
MR14,"May 29, 2012","Aug 30, 2012","Aug 30, 2017"
MR11,"May 29, 2012","Aug 30, 2012","Aug 30, 2017"
MX70,"Jan 18, 2012","Mar 31, 2012","Mar 31, 2017"
MX50,"Jul 15, 2011","Sep 1, 2011","Sep 1, 2016"
Indoor,"Mar 3, 2011","Jun 30, 2011","Jun 30, 2016"
Mini,"Sep 3, 2010","Dec 31, 2010","Sep 25, 2017"
Wall Plug,"Sep 3, 2010","Dec 31, 2010","Dec 31, 2015"
Solar,"Sep 3, 2010","Dec 31, 2010","Dec 31, 2015"
